t,x,y,theta,pwm_l,pwm_r,v_true,v_exp,apf_vx,apf_vy
13.00000000000005,211.5381849429642,-173.0178121100597,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.05000000000005,211.5300524928256,-173.00428327124246,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.100000000000051,211.52192004268701,-172.9907544324252,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.150000000000052,211.57575341075685,-173.08030960303114,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
13.200000000000053,211.56762096061826,-173.0667807642139,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.250000000000053,211.55948851047967,-173.05325192539664,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.300000000000054,211.55135606034108,-173.0397230865794,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.350000000000055,211.5432236102025,-173.02619424776213,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.400000000000055,211.5350911600639,-173.01266540894488,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.450000000000056,211.5269587099253,-172.99913657012763,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.500000000000057,211.58079207799514,-173.08869174073357,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
13.550000000000058,211.57265962785655,-173.07516290191631,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.600000000000058,211.56452717771796,-173.06163406309906,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.650000000000059,211.55639472757937,-173.0481052242818,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.70000000000006,211.54826227744078,-173.03457638546456,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.75000000000006,211.5401298273022,-173.0210475466473,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.800000000000061,211.5319973771636,-173.00751870783006,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.850000000000062,211.52386492702502,-172.9939898690128,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
13.900000000000063,211.57769829509485,-173.08354503961874,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
13.950000000000063,211.56956584495626,-173.0700162008015,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
